,pid,pkey,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pjournal,pjournalfull,pbooktitle,pbooktitlefull,ptype
16546,906354,conf/lrec/agilifpz08,alessandro panunzi|andrea agili|manuel zini|marco fabbri,,integration of a multilingual keyword extractor in a document management system,2008,,,,,,,messung,inproceedings
16547,1855689,journals/cacm/joshiags01,arif ghafoor|eugene h spafford|james joshi|walid g aref,,security models for webbased applications,2001,,,,commun acm,tapos  theory and practice of object systems,,messung,article
16548,1927690,journals/corr/abs-1008-4966,christian wulffnilsen|glencora borradaile,,multiple source single sink maximum flow in a planar graph,2010,,,,corr,international journal of wireless information networks,,messung,article
16549,106299,conf/chi/rivadeneiragmm07,a w rivadeneira|daniel m gruen|david r millen|michael j muller,,getting our head in the clouds toward evaluation studies of tagclouds,2007,,,,,,,messung,article
16550,343480,conf/iccv/delingette98,herve delingette,,initialization of deformable models from d data,1998,,,,,,,messung,inproceedings
16551,549286,conf/jcdl/dignaziorhdl07,anne diekema|elizabeth d liddy|john a dignazio|joseph d ryan|sarah harwell,,examining perception of digital information space,2007,,,,,,jcdl,workshop on electronic design,inproceedings
16552,843748,conf/conext/darties05,benoit darties,,original broadcasting technique in radio networks,2005,,,,,,,messung,inproceedings
16553,568181,conf/lics/boudetjs88,alexandre boudet|jeanpierre jouannaud|manfred schmidtschauss,,unification in free extensions of boolean rings and abelian groups,1988,,,,,,,messung,phdthesis
16554,337049,conf/iccd/rogersmm07,aleksandar milenkovic|austin rogers|milena milenkovic,,a low overhead hardware technique for software integrity and confidentiality,2007,,,,,,,messung,inproceedings
16555,462556,conf/ijcnn/konhfsd07,chaitanya sai|charles delisi|dustin t holloway|mark a kon|yue fan,,learning methods for dna binding in computational biology,2007,,,,,,,messung,inproceedings
16556,340814,conf/iccsa/chungkbb05,hyunsook chung|jungmin kim|sangyong byun|yungcheol byun,,retrieving and exploring ontologybased human motion sequences,2005,,,,,,,,inproceedings
16557,151052,conf/cvpr/kemelmacherb05,ira kemelmacher|ronen basri,,indexing with unknown illumination and pose,2005,,,,,,,messung,inproceedings
16558,1872776,journals/cgf/serpaggip01,bernard peroche|xavier serpaggi,,an adaptive method for indirect illumination using light vectors,2001,,,,comput graph forum,international journal of mobile communications ijmc,,,article
16559,1850783,journals/bmcbi/selpibksks09,christopher h bryant|erik kristiansson|graham j l kemp|janeli sarv|per sunnerhagen|selpi,,predicting functional upstream open reading frames in saccharomyces cerevisiae,2009,,,,bmc bioinformatics,international journal of intelligent information and database systems ijiids,,messung,incollection
16560,133855,conf/comsware/pozzasdv06,adriano valenzano|davide pozza|luca durante|riccardo sisto,,comparing lexical analysis tools for buffer overflow detection in network software,2006,,,,,,,messung,inproceedings
16561,398998,conf/icnc/caotl10,heping liu|ji tu|shaozhong cao,,pso algorithmbased robust design of pid controller for pmsm,2010,,,,,,icnc,annual reviews in control|annual review in automatic programming,inproceedings
16562,716808,conf/soda/mcdiarmidh92,colin mcdiarmid|ryan hayward,,strong concentration for quicksort,1992,,,,,,soda,international conference on autonomic computing,inproceedings
16563,257248,conf/fsttcs/lakshmananm85,c e veni madhavan|v s lakshmanan,,the implication problem for functional and multivalued dependencies an algebraic approach,1985,,,,,,,messung,inproceedings
16564,1960484,journals/dss/mcgillk05,jane e klobas|tanya j mcgill,,the role of spreadsheet knowledge in userdeveloped application success,2005,,,,decision support systems,international journal of wireless and mobile computing ijwmc,,messung,article
16565,1856954,journals/cacm/morgan74,howard l morgan,,optimal space allocation on disk storage devices,1974,,,,commun acm,tapos  theory and practice of object systems,,messung,article
16566,2269296,journals/tmi/giessenssmgvv09,frans m vos|geert j streekstra|kees grimbergen|lucas j van vliet|mario maas|martijn van de giessen|simon d strackee,,constrained registration of the wrist joint,2009,,,,,,,messung,article
16567,2305146,journals/amc/jiangsl06a,minghui jiang |xiaoxin liao|yi shen,,global stability of periodic solution for bidirectional associative memory neural networks with varyingtime delay,2006,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,messung,article
16568,133133,conf/compsac/xiaopldscvga07,andrew peet|carlos saez|horacio gonzalezvelez|javier vicente|liang xiao |madalina croitoru|magi lluch i ariet|paul h lewis|srinandan dashmapatra,,an adaptive security model for multiagent systems and application to a clinical trials environment,2007,,,,,,compsac ,software visualization,inproceedings
16569,884648,conf/sips/wugsc09,joseph r cavallaro|michael wu|siddharth gupta|yang sun,,a gpu implementation of a realtime mimo detector,2009,,,,,,sips,international symposium on voronoi diagrams in science and engineering,inproceedings
16570,381591,conf/icip/bilanebce09,hubert emptoz|khalil challita|petra bilane|stephane bres,,indexation of syriac manuscripts using directional features,2009,,,,,,icip,cluster computing,phdthesis
16571,607171,conf/nips/chengvswc06,dale schuurmans|li cheng|s v n vishwanathan|shaojun wang|terry caelli,,implicit online learning with kernels,2006,,,,,,nips,string processing and information retrieval,inproceedings
16572,2326287,journals/eor/aznarg07,francisco guijarro|jeronimo aznar,,estimating regression parameters with imprecise input data in an appraisal context,2007,,,,european journal of operational research,journal of communications,,messung,article
16573,561307,conf/ki/hornungz08,armin hornung|dapeng zhang ,,online detection of rule violations in table soccer,2008,,,,,,,messung,inproceedings
16574,195773,conf/ecai/hofmanns10,martin hofmann |ute schmid,,datadriven detection of recursive program schemes,2010,,,,,,,messung,inproceedings
16575,588645,conf/mm/blackburnd98,david de roure|steven blackburn,,a tool for content based navigation of music,1998,,,,,,,,inproceedings
16576,2259103,journals/tit/nobel02,andrew b nobel,,analysis of a complexitybased pruning scheme for classification trees,2002,,,,ieee transactions on information theory,international journal of ambient computing and intelligence ijaci,,messung,article
16577,535941,conf/itcc/rigasm02,dave memery|dimitris i rigas,,utilising audiovisual stimuli in interactive information systems a two domain investigation on auditory metaphors,2002,,,,,,itcc,dna computing,inproceedings
16578,17986,conf/aaai/zahavifhs06,ariel felner|jonathan schaeffer|robert holte|uzi zahavi,,dual search in permutation state spaces,2006,,,,,,aaai,conference on objectoriented programming systems,inproceedings
16579,598902,conf/mtdt/papaixd02,caroline papaix|jean michel daga,,a new single ended sense amplifier for low voltage embedded eeprom non volatile memories,2002,,,,,,,messung,inproceedings
16580,865351,conf/cisis/hellinckxvab09,frans arickx|jan broeckhove|peter hellinckx|sam verboven,,predicting parameter sweep jobs from simulation to grid implementation,2009,,,,,,cisis,hawaii international conference on system sciences,phdthesis
16581,2331326,journals/eor/qiz01,guoqiang peter zhang|min qi,,an investigation of model selection criteria for neural network time series forecasting,2001,,,,european journal of operational research,journal of communications,,messung,article
16582,197296,conf/eccb/gaohrl08,antti honkela|magnus rattray|neil d lawrence|pei gao,,gaussian process modelling of latent chemical species applications to inferring transcription factor activities,2008,,,,,,,messung,inproceedings
16583,568453,conf/lics/hardin05,chris hardin,,proof theory for kleene algebra,2005,,,,,,lics,symposium on faulttolerant computing,inproceedings
16584,783233,conf/wsc/mcgregor02,ian mcgregor,,equipment interface the relationship between simulation and emulation,2002,,,,,,,messung,inproceedings
16585,504415,conf/iscas/brauerhbl06,elizabeth j brauer|ilhan hatirnaz|stephane badel|yusuf leblebici,,viaprogrammable expanded universal logic gate in mcml for structured asic applications circuit design,2006,,,,,,iscas,international conference on biometrics,inproceedings
16586,2382800,journals/ijbc/buldugws07,alexandre wagemakers|javier m buldu|jordi garciaojalvo|miguel a f sanjuan,,electronic design of synthetic genetic networks,2007,,,,i j bifurcation and chaos,international journal on software tools for technology transfer sttt,,messung,article
16587,843444,conf/sagt/keijzerst10,bart de keijzer|guido schafer|orestis telelis,,on the inefficiency of equilibria in linear bottleneck congestion games,2010,,,,,,,messung,inproceedings
16588,281873,conf/hci/pattersond97,garry patterson|roisin donnelly,,evaluating the usability of application tools in transferring multimedia information across atm communication networks within the fashion industry in europe,1997,,,,,,hci ,international conference on electronic publishing,inproceedings
16589,219787,conf/esann/bellalba08,alexandre aussem|fazia bellal|khalid benabdeslem,,som based clustering with instancelevel constraints,2008,,,,,,esann,artificial neural networks in pattern recognition,inproceedings
16590,779879,conf/wosp/cortellessagm08,antinisca di marco|sara di gregorio|vittorio cortellessa,,using atl for transformations in software performance engineering a step ahead of javabased transformations,2008,,,,,,wosp,hypertext,inproceedings
16591,2238131,journals/tcs/allouchebcd03,david damanik|jeanpaul allouche|julien cassaigne|michael baake,,palindrome complexity,2003,,,,theor comput sci,acm transactions on computation theory toct,,,article
16592,2357397,journals/cphysics/chuluunbaatarggrvaks08,a a gusev|a g abrashkevich|michail s kaschiev|ochbadrakh chuluunbaatar|sergey i vinitsky|v a rostovtsev|v v serov|vladimir p gerdt,,pothmf a program for computing potential curves and matrix elements of the coupled adiabatic radial equations for a hydrogenlike atom in a homogeneous magnetic field,2008,,,,,,,messung,article
16593,345785,conf/icdar/okamotoy97,kazuhiko yamamoto|masayoshi okamoto,,online handwriting character recognition method with directional features and directionchange features,1997,,,,,,,messung,inproceedings
16594,869317,conf/wimob/talebfbnc09,dario bottazzi|nidal nasser|tarik taleb|yunfeng chen|zubair md fadlullah,,a contextaware middlewarelevel solution towards a ubiquitous healthcare system,2009,,,,,,,messung,phdthesis
16595,97808,conf/ccgrid/abdurrabx10,abdul rahman abdurrab|tao xie,,fire a file reunion based data replication strategy for data grids,2010,,,,,,ccgrid,european journal of combinatorics,inproceedings
16596,578784,conf/mfcs/faliszewskio05,mitsunori ogihara|piotr faliszewski,,separating the notions of self and autoreducibility,2005,,,,,,stoc,computer speech  language,inproceedings
16597,2325425,journals/mcs/markidislr10,giovanni lapenta|rizwanuddin|stefano markidis,,multiscale simulations of plasma with ipicd,2010,,,,mathematics and computers in simulation,international transactions on systems science and applications,,messung,inproceedings
16598,1860873,journals/cacm/goth09d,gregory goth,,exploring new frontiers,2009,,,,,,,messung,article
16599,331224,conf/iccad/chmelar04,erik chmelar,,minimizing the number of test configurations for fpgas,2004,,,,,,iccad,agile development conference,article
16600,86597,conf/caip/smolkaspv01,anastasios n venetsanopoulos|bogdan smolka|kostas n plataniotis|marek szczepanski,,random walk approach to noise reduction in color images,2001,,,,,,caip,conference on software engineering and formal methods,incollection
16601,243199,conf/flairs/bansalsg10,ajay bansal|gopal gupta|neda saeedloei,,timed planning,2010,,,,,,,messung,inproceedings
16602,643779,conf/ppsn/corrmmm06,barry mccollum|m a j mcgreevy|p j p mcmullan|patrick h corr,,a new neural network based construction heuristic for the examination timetabling problem,2006,,,,,,ppsn,computer supported cooperative work cscw,inproceedings
16603,1913513,journals/corr/abs-cs-0508006,alexander kroller|katharina anna lehmann|michael kaufmann|sandor p fekete,,a new approach for boundary recognition in geometric sensor networks,2005,,,,,,,messung,article
16604,755611,conf/vlsid/mohanc94,chunduri rama mohan|partha pratim chakrabarti,,a new approach to synthesis of plabased fsms,1994,,,,,,,messung,inproceedings
16605,827905,conf/speakerc/clermont07,frantz clermont,,a linearscaling approach to speaker variability in polysegmental formant ensembles,2007,,,,,,,messung,inproceedings
16606,1905872,journals/corr/cs-cl-0410057,m v panduranga rao,,one generalization of counters,2004,,,,corr,international journal of wireless information networks,,messung,article
16607,169000,conf/date/lotfi-kamrandln08,caro lucas|masoud daneshtalab|pejman lotfikamran|zainalabedin navabi,,barpa dynamic routing protocol for balanced distribution of traffic in nocs,2008,,,,,,,messung,inproceedings
16608,632275,conf/persuasive/felfernigglmmt08,alexander felfernig|bartosz gula|erich teppan|gerhard leitner|marco maier|rudolf melcher,,persuasion in knowledgebased recommendation,2008,,,,,,web intelligence,computer supported cooperative work cscw,inproceedings
16609,730698,conf/stoc/thathachar98,jayram s thathachar,,on separating the readktimes branching program hierarchy,1998,,,,,,,messung,inproceedings
16610,1872718,journals/cgf/robinsonswhl97,dan sheppard|peter robinson|richard watts|robert harding|steven lay,,a framework for interacting with paper,1997,,,,comput graph forum,international journal of mobile communications ijmc,,messung,inproceedings
16611,422952,conf/icra/yumg08,george k i mann|ray g gosine|yuanlong yu,,an objectbased visual attention model for robots,2008,,,,,,,,inproceedings
16612,821238,conf/cec/luqueqvi09,cristobal luque|david quintana|jose maria valls|pedro isasi,,twolayered evolutionary forecasting for ipo underpricing,2009,,,,,,ieee congress on evolutionary computation,workshop on power and timing modeling,phdthesis
16613,2097333,journals/jcisd/wang01,j chen|x z wang,,a new approach to nearinfrared spectral data analysis using independent component analysis,2001,,,,journal of chemical information and computer sciences,acm transactions on applied perception tap,,messung,inproceedings
16614,106173,conf/chi/yehtd04,konrad tollmar|tom yeh|trevor darrell,,ideixis imagebased deixis for finding locationbased information,2004,,,,,,,messung,inproceedings
16615,1994425,journals/gc/mosca02,raffaele mosca,,a shy invariant of graphs,2002,,,,graphs and combinatorics,international journal of learning technology ijlt,,messung,article
16616,130567,conf/compgeom/dickersondmw94,emo welzl|matthew dickerson|robert l scot drysdale iii|scott a mcelfresh,,fast greedy triangulation algorithms,1994,,,,,,symposium on computational geometry,interactive distributed multimedia systems and telecommunication services,inproceedings
16617,1954570,journals/dm/bennett90a,grahame bennett,,coin tossing and moment sequences,1990,,,,,,,,article
16618,426781,conf/icse/chanabjnw99,david h jones|david notkin|paul beame|richard j anderson|william chan|william e warner,,decoupling synchronization from local control for efficient symbolic model checking of statecharts,1999,,,,,,icse,ieee international conference on automatic face and gesture recognition,inproceedings
16619,299865,conf/hpdc/jonesdd10,john t daly|nathan debardeleben|william m jones,,impact of suboptimal checkpoint intervals on application efficiency in computational clusters,2010,,,,,,,messung,inproceedings
16620,2245261,journals/tcs/cookks07,byron cook|daniel kroening|natasha sharygina,,verification of boolean programs with unbounded thread creation,2007,,,,theor comput sci,acm transactions on computation theory toct,,messung,article
16621,357427,conf/iceccs/filhoeb08,jeanpierre briot|jose viterbo filho|markus endler,,ubiquitous service regulation based on dynamic rules,2008,,,,,,iceccs,international symposium on distributed objects and applications,inproceedings
16622,748692,conf/vissym/neumanntzc07,annie tat|m sheelagh t carpendale|petra neumann|torre zuk,,keystrokes personalizing typed text with visualization,2007,,,,,,,messung,inproceedings
16623,218095,conf/esa/czumajkkl96,artur czumaj|krzysztof lorys|miroslaw kutylowski|przemyslawa kanarek,,fast generation of random permutations via networks simulation,1996,,,,,,esa,pattern recognition and machine intelligence,article
16624,377031,conf/icip/yuesu98,a saudagar|lalita udpa|m yu|nawapak euaanant,,genetic algorithm approach to image segmentation using morphological operations,1998,,,,,,icip ,information systems management,inproceedings
16625,1873305,journals/cgf/chenzce08,david s ebert|song zhang|stephen correia|wei chen,,abstractive representation and exploration of hierarchically clustered diffusion tensor fiber tracts,2008,,,,comput graph forum,international journal of mobile communications ijmc,,messung,article
16626,204250,conf/ecows/lecuesp07,eduardo goncalves da silva|freddy lecue|luis ferreira pires,,a framework for dynamic web services composition,2007,,,,,,wewst,usenix large installation systems administration conference,inproceedings
16627,76417,conf/bildmed/zerfassmblke09,jean denis laredo|klaus engelke|oleg museyko|peter zerfass|valerie bousson|willi a kalender,,segmentation of the knee for analysis of osteoarthritis,2009,,,,,,bildverarbeitung fur die medizin,euromicro,inproceedings
16628,61950,conf/aspdac/zhangk04,xuliang zhang|yoji kajitani,,spaceplanning placement of modules with controlled empty area by singlesequence,2004,,,,,,aspdac,datenbanksysteme in buro,inproceedings
16629,1926403,journals/corr/abs-1006-3679,allen y yang|hossein mobahi|shankar rao|shankar s sastry|yi ma,,segmentation of natural images by texture and boundary compression,2010,,,,,,,messung,article
16630,2146876,journals/ml/asschevbd06,anneleen van assche|celine vens|hendrik blockeel|saso dzeroski,,first order random forests learning relational classifiers with complex aggregates,2006,,,,machine learning,international journal of web and grid services ijwgs,,messung,inproceedings
16631,2262257,journals/tit/luzziobv09,emanuele viterbo|ghaya rekayaben othman|jeanclaude belfiore|laura luzzi,,golden spacetime blockcoded modulation,2009,,,,ieee transactions on information theory,international journal of ambient computing and intelligence ijaci,,messung,article
16632,169887,conf/dateso/lanskyz06,jan lansky|michal zemlicka,,compression of a dictionary,2006,,,,,,cikm,international workshop on quality of service,inproceedings
16633,813899,conf/digitel/lavin-meramf08,baltasar fernandezmanjon|pablo lavinmera|pablo morenoger,,development of educational videogames in mlearning contexts,2008,,,,,,,messung,inproceedings
16634,584044,conf/miccai/vogelsvvvp01,albert m vossepoel|frans vos|henri a vrooman|m w vogel|p m t pattynama|s suprijanto,,towards motionrobust magnetic resonance thermometry,2001,,,,,,miccai,visualization symposium,inproceedings
16635,573938,conf/mascots/dobosiewiczg93,pawel gburzynski|wlodzimierz dobosiewicz,,smurph an objectoriented simulator for communication networks and protocols,1993,,,,,,mascots,dependable systems and networks,inproceedings
16636,779133,conf/woc/leeke06,joungwoong lee|shigetomo kimura|yoshihiko ebihara,,an approach to fast handoff scheme for mobile ipv in cellular ip networks,2006,,,,,,,messung,phdthesis
16637,103993,conf/chi/holtzblattbb05,joerg beringer|karen holtzblatt|lisa baker,,rapid user centered design techniques challenges and solutions,2005,,,,,,chi extended abstracts,eye tracking research  application,phdthesis
16638,599958,conf/naacl/ritchietr06,anna ritchie|simone teufel|stephen robertson,,creating a test collection for citationbased ir experiments,2006,,,,,,,messung,inproceedings
16639,2094771,journals/jcisd/dittmarmc77,joseph mockus|kathyrn m couvreur|paul g dittmar,,an algorithmic computer graphics program for generating chemical structure diagrams,1977,,,,journal of chemical information and computer sciences,acm transactions on applied perception tap,,messung,article
16640,382895,conf/icip/giovannelli10,jeanfrancois giovannelli,,estimation of the ising field parameter thanks to the exact partition function,2010,,,,,,,messung,inproceedings
16641,546916,conf/iwpt/dienk01,dinh dien|hoang kiem,,an approach to parsing vietnamese noun compounds,2001,,,,,,rivf,international conference on webbased learning,inproceedings
16642,176008,conf/dexa/bratleyps91,daniel poulin|jacques savoy|paul bratley,,the effect of change on legal applications,1991,,,,,,dexa,design,inproceedings
16643,1922132,journals/corr/abs-0911-1619,ingmar weber|monika rauch henzinger|paul dutting,,on the pricing of recommendations and recommending strategically,2009,,,,corr,international journal of wireless information networks,,messung,incollection
16644,442787,conf/ieaaie/yangczly05,hui lin |shifu chen|yubin yang|yukun ye|zhihua zhou,,an intelligent medical image understanding method using twotier neural network ensembles,2005,,,,,,ieaaie,the european symposium on artificial neural networks,inproceedings
16645,249582,conf/fossacs/gianantoniohl08,furio honsell|marina lenisa|pietro di gianantonio,,rpo secondorder contexts and lambdacalculus,2008,,,,,,fossacs,selfadaptive and selforganizing systems,inproceedings
16646,573458,conf/mammo/rensakyj08,andrew smith|baorui ren|david aizer|don kennedy|jeffrey yorker|zhenxue jing,,the effect of tomosynthesis xray pulse width on measured beam quality,2008,,,,,,digital mammography  iwdm,security and communication networks,inproceedings
16647,859369,conf/iros/kimm08,mark a minor|youngshik kim,,coordinated kinematic motion control of compliant framed wheeled modular mobile robots,2008,,,,,,iros,european conference on genetic programming,inproceedings
16648,744123,conf/um/carmien03,stefan carmien,,maps dynamic scaffolding for independence for persons with cognitive impairments,2003,,,,,,user modeling,international symposium on algorithms and computation,inproceedings
16649,84847,conf/cade/zhang94,jian zhang ,,problems on the generation of finite models,1994,,,,,,,messung,article
16650,1906678,journals/corr/cs-dl-9902020,carl lagoze|james c french|naomi dushay,,using query mediators for distributed searching in federated digital libraries,1999,,,,corr,international journal of wireless information networks,,messung,article
16651,593947,conf/mobicom/scheuermannlrm09,bjorn scheuermann|christian lochert|jedrzej rybicki|martin mauve,,a fundamental scalability criterion for data aggregation in vanets,2009,,,,,,mobicom,compilers,inproceedings
16652,579184,conf/mfcs/kawachikkp04,akinori kawachi|hirotada kobayashi|raymond h putra|takeshi koshiba,,universal test for quantum oneway permutations,2004,,,,,,mfcs,australasian database conference,inproceedings
16653,630572,conf/pepm/kamin04,sam kamin,,invited application paper program generation considered easy,2004,,,,,,,messung,inproceedings
16654,1958732,journals/dm/fourtounellik10,olga fourtounelli|p katerinis,,the existence of kfactors in squares of graphs,2010,,,,discrete mathematics,journal of information  knowledge management,,messung,article
16655,2008169,journals/ieicet/akitawt07,ippei akita|kazuyuki wada|yoshiaki tadokoro,,synthesis method of all lowvoltage cmos instantaneouscompanding log domain integrators,2007,,,,ieice transactions,international journal of algebra and computation ijac,,messung,inproceedings
16656,746908,conf/vcip/chengwh02,qiang cheng|ruoyu roy wang|thomas s huang,,framework for digital video watermarking with dual watermarks,2002,,,,,,,messung,inproceedings
16657,93380,conf/cav/mouraorrsst04,ashish tiwari|harald ruess|john m rushby|leonardo mendonca de moura|maria sorea|natarajan shankar|sam owre,,sal ,2004,,,,,,cav,hybrid intelligent systems,inproceedings
16658,39752,conf/aime/corneta03,ameen abuhanna|ronald cornet,,using description logics for managing medical terminologies,2003,,,,,,,messung,inproceedings
16659,160557,conf/dagm/stoschekhywh96,arne stoschek|jochen walz|mark harlow|reiner hegerl|thomas p y yu,,steerable pyramid denoising as preprocessing for dobject detection and visualization of tomoraphic reconstructions,1996,,,,,,dagmsymposium,international conference on parallel and distributed systems,inproceedings
16660,2125669,journals/jsac/pausinijw06,gerard j m janssen|klaus witrisal|marco pausini,,performance enhancement of differential uwb autocorrelation receivers under isi,2006,,,,ieee journal on selected areas in communications,international journal of information systems and change management ijiscm,,messung,article
16661,790314,conf/xps/klockesjrhk87,gunther kalff|gunther rau|manfred a jeusfeld|thomas schecke|u hatsky|w klocke,,wissensbasierte entscheidungsunterstutzung in der anasthesie mit dem aes,1987,,,,,,,messung,inproceedings
16662,2427504,reference/db/liu09d,bing liu,,opinion mining,2009,,,,,,encyclopedia of database systems,provable security,incollection
16663,31235,conf/adhoc-now/singhngc05,andronikos nedos|gregor gartner|kulpreet singh|siobhan clarke,,message stability and reliable broadcasts in mobile adhoc networks,2005,,,,,,adhocnow,functional imaging and modeling of the heart,incollection
16664,2176178,journals/pc/mawhinney99,robert d mawhinney,,the  teraflops qcdsp computer,1999,,,,parallel computing,international journal of digital crime and forensics ijdcf,,,article
16665,458022,conf/ijcai/givryhzl05,federico heras|javier larrosa|matthias zytnicki|simon de givry,,existential arc consistency getting closer to full arc consistency in weighted csps,2005,,,,,,ijcai,inroads acm sigcse bulletin|acm sigcse bulletin,inproceedings
16666,239469,conf/fecs/yangcll08,huijen yang|justin s lay|minder chen|yunlong lay,,the development and evaluation of game type computeraided phoneme learning system for hearing impaired,2008,,,,,,fecs,ai in medicine in europe,inproceedings
16667,656666,conf/robocup/heinemannssz06,andreas zell|felix streichert|frank sehnke|patrick heinemann,,towards a calibrationfree robot the act algorithm for automatic online color training,2006,,,,,,robocup,euromicro,inproceedings
16668,504325,conf/iscas/tientc06,jingjou tang|kuanjou chen|tzyykuen tien,,a new high speed dynamic pla,2006,,,,,,iscas,international conference on multimedia computing and systems,inproceedings
16669,2126288,journals/jsac/chinggltssi07,gilbert siy ching|hironori sakamoto|itoji sameda|junichi takada|mir ghoraishi|navarat lertsirisopon|tetsuro imai,,analysis of dsrc service overreach inside an arched tunnel,2007,,,,ieee journal on selected areas in communications,international journal of information systems and change management ijiscm,,,article
16670,117480,conf/clef/mandlhw06,christa womserhacker|rene hackl|thomas mandl,,robust adhoc retrieval experiments with french and english at the university of hildesheim,2006,,,,,,clef,european conference on information systems,inproceedings
16671,266491,conf/gecco/mckaynckmh09,james r cheney|minhyeok kim|naoki mori|robert i mckay|tuan hao hoang|xuan hoai nguyen,,estimating the distribution and propagation of genetic programming building blocks through tree compression,2009,,,,,,gecco,computational learning theory,article
16672,723058,conf/splc/etxeberriam08,goiuria sagardui mendieta|leire etxeberria,,variability driven quality evaluation in software product lines,2008,,,,,,splc,computational aspects of social networks,inproceedings
16673,2147835,journals/mlq/golinska-pilarek06,joanna golinskapilarek,,number of nonfregean sentential logics that have adequate models,2006,,,,math log q,ieee transactions on learning technologies,,messung,article
16674,1958330,journals/dm/torokv10,imrich vrto|lubomir torok,,antibandwidth of threedimensional meshes,2010,,,,discrete mathematics,journal of information  knowledge management,,,article
16675,70615,conf/ausdm/figueroan07,alejandro figueroa|gunter neumann,,mining web snippets to answer list questions,2007,,,,,,,messung,inproceedings
16676,371952,conf/icip/fanft03,chew lim tan|lixin fan|liying fan,,a diffusion process for wavelettransformbased image denoising and its application to document image binarization,2003,,,,,,icdar,international parallel processing symposium,inproceedings
16677,2096473,journals/jcisd/plattsabh00,anne hersey|darko butina|james a platts|michael h abraham,,estimation of molecular linear free energy relationship descriptors by a group contribution approach  prediction of partition coefficients,2000,,,,journal of chemical information and computer sciences,acm transactions on applied perception tap,,messung,article
16678,1849798,journals/bmcbi/jenkinsonabbdfhhjjkkmrp08,andreas kahari|andreas prlic|andrew m jenkinson|eugene kulesha|ewan birney|gabrielle a reeves|hagen blankenburg|henning hermjakob|jose r macias|mario albrecht|philip jones|rafael c jimenez|robert d finn|thomas down|tim j p hubbard,,integrating biological data  the distributed annotation system,2008,,,,bmc bioinformatics,international journal of intelligent information and database systems ijiids,,messung,inproceedings
16679,724560,conf/srds/cotroneonr09,domenico cotroneo|roberto natella|stefano russo,,assessment and improvement of hang detection in the linux operating system,2009,,,,,,srds,microelectronics systems education,inproceedings
16680,349705,conf/icdcsw/obatati05,hiroyasu obata|kenji ishida|satoru takeuchi,,a new tcp congestion control method considering adaptability over satellite internet,2005,,,,,,icdcs workshops,international agent technology conference,inproceedings
16681,571131,conf/lpar/mantsivodap91,andrei mantsivoda|vyacheslav petukhin,,compiling flang,1991,,,,,,,messung,inproceedings
16682,1971367,journals/emisa/rinderle-mald08,linh thao ly|peter dadam|stefanie rinderlema,,business process compliance,2008,,,,,,,messung,inproceedings
16683,619639,conf/para/hilldbsssctzhbcckmnsswiyjl04,anthony p craig|arlindo da silva|atanas trayanov|byron a boville|carlos cruz|cecelia deluca|chris hill|david neckels|earl schwab|erik kluzek|jay walter larson|john michalakes|jon wolfe|leonid zaslavsky|mark iredell|max suarez|nancy collins|robert hallberg|robert l jacob|shepard smithline|v balaji|weiyu yang|william sawyer,,implementing applications with the earth system modeling framework,2004,,,,,,,,inproceedings
16684,538523,conf/its/hirashimayot08,akira takeuchi|masahiko okamoto|takuro yokoyama|tsukasa hirashima,,an experimental use of learning environment for problemposing as sentenceintegration in arithmetical word problems,2008,,,,,,intelligent tutoring systems,international symposium on low power electronics and design,inproceedings
16685,599152,conf/mwcn/wennstrombrg02,anna brunstrom|annika wennstrom|jan h gustafsson|juan rendon,,a gprs testbed for tcp measurements,2002,,,,,,,messung,inproceedings
16686,471337,conf/infocom/caos04,fengyun cao|jaswinder pal singh,,efficient event routing in contentbased publishsubscribe service network,2004,,,,,,infocom,languages,inproceedings
16687,282247,conf/hci/sundareswaranbcw99,kenneth wang|reinhold behringer|steven chen|venkataraman sundareswaran,,a distributed system for device diagnostics utilizing augmented reality d audio and speech recognition,1999,,,,,,hci ,int conf on embedded software and systems,inproceedings
16688,72139,conf/avss/coorayo05,noel e oconnor|saman hemantha cooray,,a hybrid technique for face detection in color images,2005,,,,,,,messung,inproceedings
16689,132335,conf/compsac/ozcanpms98,ian c morrey|jawed i a siddiqi|mehmet bulent ozcan|p w parry,,requirements validation based on the visualization of executable formal specifications,1998,,,,,,compsac,international journal of knowledgebased and intelligent engineering systems,inproceedings
16690,252561,conf/fqas/agustips98,jaume agusticullell|jordi puigsegur|w marco schorlemmer,,query answering by means of diagram transformation,1998,,,,,,fqas,belgiumnetherlands conference on artificial intelligence,inproceedings
16691,334039,conf/iccbr/mehtaor09,ashwin ram|manish mehta|santiago ontanon,,using metareasoning to improve the performance of casebased planning,2009,,,,,,iccbr,embedded and ubiquitous computing,inproceedings
16692,2158172,journals/nar/romanoapmcarirrs93,barbara parodi|beatrice iannotta|gabriella rondanina|giovanna angelini|leonardo santi|maria assunta manniello|maria giuseppina campi|massimo romani|ottavia aresu|paolo romano |tiziana ruzzon,,molecular probe data base a database on synthetic oligonucleotides,1993,,,,nucleic acids research,international journal of ad hoc and ubiquitous computing ijahuc,,messung,article
